strategyName,parameters,foldIndex,trainStart,trainEnd,testStart,testEnd,trainReturn,testReturn,grossReturn,netReturn,executedTradeCount,signalCount,ghostSignalCount,turnover,feePaid,slippagePaid,bootstrapPassed,randomPassed,randomPercentile
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":1.8}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.003503078212290071,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":1.8}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.003503078212290071,0.002525045823234366,0.003211239960362669,0.002525045823234366,1,1,1,0.5025264339777545,251.26321698887728,434.93092013941975,false,false,0.752
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":1.8}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.003503078212290071,0.002525045823234366,0.003211239960362669,0.002525045823234366,1,1,1,0.5025264339777545,251.26321698887728,434.93092013941975,false,false,0.766
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.2}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.003503078212290071,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.2}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.003503078212290071,0.002525045823234366,0.003211239960362669,0.002525045823234366,1,1,1,0.5025264339777545,251.26321698887728,434.93092013941975,false,false,0.773
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.2}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.003503078212290071,0.002525045823234366,0.003211239960362669,0.002525045823234366,1,1,1,0.5025264339777545,251.26321698887728,434.93092013941975,false,false,0.761
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.6}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.003503078212290071,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.6}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.003503078212290071,0.002525045823234366,0.003211239960362669,0.002525045823234366,1,1,1,0.5025264339777545,251.26321698887728,434.93092013941975,false,false,0.748
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.6}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.003503078212290071,0.002525045823234366,0.003211239960362669,0.002525045823234366,1,1,1,0.5025264339777545,251.26321698887728,434.93092013941975,false,false,0.743
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":1.8}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.007051050424356945,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":1.8}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.007051050424356945,0.002525045823234366,0.003211239960362669,0.002525045823234366,1,1,1,0.5025264339777545,251.26321698887728,434.93092013941975,false,false,0.768
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":1.8}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.007051050424356945,-0.0009671842933748849,0.0029412665241437498,-0.0009671842933748849,4,4,4,1.9997594191528927,999.8797095764463,2908.5711079421035,false,false,0.505
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.2}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00835073895427247,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.2}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00835073895427247,0.002525045823234366,0.003211239960362669,0.002525045823234366,1,1,1,0.5025264339777545,251.26321698887728,434.93092013941975,false,false,0.777
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.2}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00835073895427247,-0.0009671842933748849,0.0029412665241437498,-0.0009671842933748849,4,4,4,1.9997594191528927,999.8797095764463,2908.5711079421035,false,false,0.539
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.6}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00835073895427247,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.6}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00835073895427247,0.002525045823234366,0.003211239960362669,0.002525045823234366,1,1,1,0.5025264339777545,251.26321698887728,434.93092013941975,false,false,0.773
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.6,""maxExtensionAtr"":1.2,""trailAtrMult"":2.6}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00835073895427247,-0.0009671842933748849,0.0029412665241437498,-0.0009671842933748849,4,4,4,1.9997594191528927,999.8797095764463,2908.5711079421035,false,false,0.52
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":1.8}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.02368044533123041,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":1.8}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.02368044533123041,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":1.8}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.02368044533123041,0.0029927749652108177,0.003811257032506517,0.0029927749652108177,1,1,1,0.5029943971012927,251.49719855064635,566.9848687451387,false,false,0.757
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.2}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.02368044533123041,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.2}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.02368044533123041,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.2}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.02368044533123041,0.0029927749652108177,0.003811257032506517,0.0029927749652108177,1,1,1,0.5029943971012927,251.49719855064635,566.9848687451387,false,false,0.742
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.6}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.02368044533123041,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.6}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.02368044533123041,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":20,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.6}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.02368044533123041,0.0029927749652108177,0.003811257032506517,0.0029927749652108177,1,1,1,0.5029943971012927,251.49719855064635,566.9848687451387,false,false,0.749
"relative-breakout-rotation","{""breakoutLookback"":30,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":1.8}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.018024118541198668,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":30,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":1.8}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.018024118541198668,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":30,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":1.8}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.018024118541198668,0.0029927749652108177,0.003811257032506517,0.0029927749652108177,1,1,1,0.5029943971012927,251.49719855064635,566.9848687451387,false,false,0.751
"relative-breakout-rotation","{""breakoutLookback"":30,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.2}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.018024118541198668,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":30,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.2}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.018024118541198668,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":30,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.2}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.018024118541198668,0.0029927749652108177,0.003811257032506517,0.0029927749652108177,1,1,1,0.5029943971012927,251.49719855064635,566.9848687451387,false,false,0.76
"relative-breakout-rotation","{""breakoutLookback"":30,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.6}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.018024118541198668,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":30,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.6}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.018024118541198668,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":30,""strengthFloor"":0.8,""maxExtensionAtr"":1.6,""trailAtrMult"":2.6}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.018024118541198668,0.0029927749652108177,0.003811257032506517,0.0029927749652108177,1,1,1,0.5029943971012927,251.49719855064635,566.9848687451387,false,false,0.738
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.7,""maxExtensionAtr"":1.2,""trailAtrMult"":1.8}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.007051050424356945,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.7,""maxExtensionAtr"":1.2,""trailAtrMult"":1.8}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.007051050424356945,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.7,""maxExtensionAtr"":1.2,""trailAtrMult"":1.8}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.007051050424356945,-0.004948686740534031,-0.0027556785485013387,-0.004948686740534031,2,2,2,0.9944701589192821,497.2350794596411,1695.7731125730734,false,false,0.43
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.7,""maxExtensionAtr"":1.2,""trailAtrMult"":2.2}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00835073895427247,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.7,""maxExtensionAtr"":1.2,""trailAtrMult"":2.2}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00835073895427247,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.7,""maxExtensionAtr"":1.2,""trailAtrMult"":2.2}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00835073895427247,-0.004948686740534031,-0.0027556785485013387,-0.004948686740534031,2,2,2,0.9944701589192821,497.2350794596411,1695.7731125730734,false,false,0.407
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.7,""maxExtensionAtr"":1.2,""trailAtrMult"":2.6}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00835073895427247,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.7,""maxExtensionAtr"":1.2,""trailAtrMult"":2.6}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00835073895427247,0,0,0,0,0,0,0,0,0,false,false,0
"relative-breakout-rotation","{""breakoutLookback"":10,""strengthFloor"":0.7,""maxExtensionAtr"":1.2,""trailAtrMult"":2.6}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00835073895427247,-0.004948686740534031,-0.0027556785485013387,-0.004948686740534031,2,2,2,0.9944701589192821,497.2350794596411,1695.7731125730734,false,false,0.427
"leader-pullback-state-machine","{""strengthFloor"":0.6,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":1.8}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.6,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":1.8}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.6,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":1.8}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00431204331517918,-0.002599009900990059,-0.0013607057857209584,-0.002599009900990059,1,1,1,0.49739981494401314,248.6999074720066,989.6042077970916,false,false,0.341
"leader-pullback-state-machine","{""strengthFloor"":0.6,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.2}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.6,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.2}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.6,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.2}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00431204331517918,-0.002599009900990059,-0.0013607057857209584,-0.002599009900990059,1,1,1,0.49739981494401314,248.6999074720066,989.6042077970916,false,false,0.328
"leader-pullback-state-machine","{""strengthFloor"":0.6,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.6}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.6,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.6}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.6,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.6}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00431204331517918,-0.002599009900990059,-0.0013607057857209584,-0.002599009900990059,1,1,1,0.49739981494401314,248.6999074720066,989.6042077970916,false,false,0.322
"leader-pullback-state-machine","{""strengthFloor"":0.7,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":1.8}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.7,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":1.8}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.7,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":1.8}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00431204331517918,-0.002599009900990059,-0.0013607057857209584,-0.002599009900990059,1,1,1,0.49739981494401314,248.6999074720066,989.6042077970916,false,false,0.318
"leader-pullback-state-machine","{""strengthFloor"":0.7,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.2}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.7,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.2}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.7,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.2}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00431204331517918,-0.002599009900990059,-0.0013607057857209584,-0.002599009900990059,1,1,1,0.49739981494401314,248.6999074720066,989.6042077970916,false,false,0.34
"leader-pullback-state-machine","{""strengthFloor"":0.7,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.6}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.7,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.6}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.7,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.6}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00431204331517918,-0.002599009900990059,-0.0013607057857209584,-0.002599009900990059,1,1,1,0.49739981494401314,248.6999074720066,989.6042077970916,false,false,0.338
"leader-pullback-state-machine","{""strengthFloor"":0.8,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":1.8}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.8,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":1.8}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.8,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":1.8}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00431204331517918,-0.002599009900990059,-0.0013607057857209584,-0.002599009900990059,1,1,1,0.49739981494401314,248.6999074720066,989.6042077970916,false,false,0.332
"leader-pullback-state-machine","{""strengthFloor"":0.8,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.2}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.8,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.2}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.8,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.2}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00431204331517918,-0.002599009900990059,-0.0013607057857209584,-0.002599009900990059,1,1,1,0.49739981494401314,248.6999074720066,989.6042077970916,false,false,0.321
"leader-pullback-state-machine","{""strengthFloor"":0.8,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.6}",1,"2025-10-10T14:00:00.000Z","2026-01-08T13:00:00.000Z","2026-01-08T14:00:00.000Z","2026-02-07T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.8,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.6}",2,"2025-10-24T14:00:00.000Z","2026-01-22T13:00:00.000Z","2026-01-22T14:00:00.000Z","2026-02-21T14:00:00.000Z",-0.00431204331517918,0,0,0,0,0,0,0,0,0,false,false,0
"leader-pullback-state-machine","{""strengthFloor"":0.8,""pullbackAtr"":0.5,""setupExpiryBars"":2,""trailAtrMult"":2.6}",3,"2025-11-07T14:00:00.000Z","2026-02-05T13:00:00.000Z","2026-02-05T14:00:00.000Z","2026-03-07T14:00:00.000Z",-0.00431204331517918,-0.002599009900990059,-0.0013607057857209584,-0.002599009900990059,1,1,1,0.49739981494401314,248.6999074720066,989.6042077970916,false,false,0.33
